19310309000106#0,45349495000105#0	51363#0,51397#0,51420#0,189281#0,189347#0,229574#0,229603#0,296089#0,296361#0,431650#0,444738#0,516383#0,549717#0	248926762725	2	13	248926762725
02156311000170#0,04159816000113#0	3042#0,32359#0,32390#0,32391#0,32439#0,32454#0,32457#0,32458#0,32615#0,32618#0,32628#0,32629#0,56591#0,56651#0,70972#0,74811#0,76810#0,76843#0,90927#0,90931#0,90934#0,104357#0,104559#0,106359#0,109893#0,109987#0,110100#0,110155#0,110218#0,110253#0,111290#0,125375#0,125403#0,125609#0,129258#0,129410#0,129544#0,135438#0,135488#0,135527#0,135618#0,135652#0,135685#0,143157#0,146798#0,153754#0,153756#0,153845#0,153962#0,155397#0,155433#0,159020#0,165000#0,165026#0,165042#0,165120#0,165135#0,165145#0,165148#0,165155#0,165198#0,165220#0,165228#0,165234#0,165239#0,167971#0,167975#0,168104#0,168177#0,168192#0,168193#0,168194#0,168361#0,168362#0,168366#0,168421#0,168446#0,168456#0,187237#0,189259#0,190513#0,190629#0,206413#0,206544#0,206592#0,206691#0,224804#0,225816#0,225883#0,225925#0,243644#0,246891#0,247950#0,251762#0,251843#0,264087#0,278876#0,278916#0,279046#0,279064#0,280556#0,282697#0,282940#0,292927#0,293090#0,296023#0,296144#0,341313#0,352150#0,352312#0,352375#0,360695#0,360722#0,360826#0,360898#0,360900#0,360903#0,369206#0,369275#0,369537#0,369655#0,369770#0,371583#0,374667#0,374687#0,374749#0,374766#0,374774#0,374788#0,374838#0,396772#0,396808#0,396811#0,396816#0,396857#0,396904#0,396906#0,396924#0,396981#0,397092#0,397102#0,397160#0,397379#0,397521#0,397582#0,397738#0,397751#0,397804#0,397841#0,397848#0,397849#0,397850#0,398715#0,398721#0,398733#0,398778#0,398783#0,398802#0,398803#0,398815#0,398817#0,398888#0,399126#0,558570#0,558968#0,559053#0,568037#0,568039#0,569499#0,569917#0,569934#0,577454#0,577494#0	69910224583	2	173	69910224583
01929665000490#0,21276209000152#0,21276225000145#0,21276282000124#0,21483615000196#0,25674730000107#0,31272701000103#0	341278#0	23887906182	7	1	1137519342
07440149000130#0,07440155000198#0,44734671000151#0	3042#0,3087#0,16201#0,16203#0,23646#0,32171#0,32359#0,32390#0,32391#0,32439#0,32457#0,32458#0,32615#0,32616#0,32618#0,47985#0,49336#0,49368#0,58395#0,58457#0,68057#0,70660#0,74509#0,74531#0,74534#0,74811#0,74854#0,74856#0,74858#0,74926#0,80929#0,87029#0,94142#0,95813#0,95857#0,95957#0,95965#0,96103#0,104559#0,104729#0,104763#0,109644#0,109780#0,111290#0,111351#0,125375#0,125495#0,125538#0,125609#0,125724#0,129258#0,129410#0,129544#0,129676#0,131578#0,132829#0,153754#0,153763#0,153790#0,153845#0,153962#0,154032#0,158866#0,163223#0,163246#0,163325#0,164997#0,165003#0,165017#0,165023#0,165025#0,165027#0,165035#0,165044#0,165045#0,165050#0,165051#0,165054#0,165078#0,165082#0,165083#0,165088#0,165110#0,165111#0,165120#0,165121#0,165132#0,165135#0,165140#0,165155#0,165163#0,165166#0,165198#0,165205#0,165207#0,165228#0,165229#0,165231#0,165232#0,165234#0,166145#0,167971#0,167975#0,168021#0,168108#0,168176#0,168177#0,168182#0,168192#0,168193#0,168194#0,168358#0,168361#0,168362#0,168366#0,168371#0,168400#0,168446#0,168450#0,168481#0,168487#0,168544#0,168553#0,168554#0,168558#0,168566#0,168616#0,168643#0,171007#0,187025#0,187304#0,187347#0,199877#0,199882#0,205686#0,205753#0,205760#0,206413#0,206544#0,206592#0,206691#0,206739#0,211792#0,227175#0,243644#0,243937#0,255292#0,273586#0,273589#0,278916#0,280089#0,282697#0,282940#0,283136#0,283153#0,290367#0,292111#0,292245#0,292447#0,295251#0,295259#0,295260#0,295269#0,295286#0,295421#0,295425#0,295429#0,295463#0,295465#0,295494#0,295558#0,295655#0,295656#0,295659#0,295812#0,295813#0,295814#0,295815#0,296262#0,299289#0,346769#0,352150#0,352312#0,353098#0,354282#0,360722#0,360821#0,360898#0,360900#0,360903#0,360909#0,360910#0,360916#0,361675#0,361679#0,361684#0,361687#0,363437#0,365337#0,365423#0,365428#0,365448#0,366581#0,368856#0,368916#0,368926#0,368929#0,368947#0,369206#0,369275#0,369301#0,369537#0,369655#0,369770#0,369921#0,370123#0,370136#0,370238#0,370581#0,374464#0,375178#0,375248#0,375251#0,377285#0,377317#0,378564#0,380197#0,381392#0,382281#0,382905#0,383692#0,383723#0,383732#0,383758#0,383800#0,383848#0,386206#0,392717#0,396755#0,396856#0,396857#0,396860#0,396925#0,396934#0,396942#0,396974#0,396981#0,397031#0,397100#0,397174#0,397176#0,397182#0,397242#0,397253#0,397254#0,397321#0,397393#0,397463#0,397751#0,397777#0,397780#0,397784#0,397786#0,397840#0,397841#0,397878#0,397941#0,398183#0,398184#0,398186#0,398187#0,398198#0,398285#0,398357#0,398573#0,398575#0,398582#0,398591#0,398702#0,398743#0,398817#0,398818#0,398820#0,398830#0,398922#0,398934#0,398976#0,398977#0,398997#0,399050#0,399081#0,399156#0,399199#0,399231#0,399234#0,399269#0,399353#0,399360#0,399362#0,399496#0,399499#0,399552#0,399587#0,406448#0,406458#0,406463#0,406473#0,406515#0,406535#0,413725#0,414271#0,416032#0,416047#0,416902#0,421511#0,427281#0,429086#0,429192#0,438840#0,438858#0,443565#0,445225#0,447542#0,447555#0,447565#0,448822#0,449554#0,449565#0,449573#0,449581#0,449583#0,449595#0,449599#0,449607#0,449623#0,450134#0,450163#0,455072#0,455442#0,456302#0,456318#0,459541#0,460289#0,460300#0,460356#0,461505#0,461507#0,462238#0,465422#0,465433#0,465468#0,465508#0,471578#0,471611#0,473513#0,473516#0,473543#0,473577#0,474297#0,476210#0,476215#0,476316#0,476381#0,477389#0,478905#0,478933#0,479985#0,486584#0,487407#0,488449#0,488514#0,489255#0,490319#0,492645#0,496137#0,496177#0,497623#0,498428#0,498431#0,500801#0,502091#0,502266#0,502402#0,502729#0,502786#0,502848#0,502874#0,502908#0,508093#0,508096#0,508147#0,508472#0,508478#0,508489#0,508498#0,508501#0,510189#0,512174#0,512223#0,512487#0,532858#0,532957#0,533019#0,535798#0,536821#0,538606#0,538608#0,540873#0,542580#0,542629#0,542646#0,543698#0,543732#0,543745#0,544495#0,544524#0,544639#0,548092#0,562983#0,562994#0,569499#0,569666#0,569851#0,569917#0,569934#0,570120#0,570283#0,570527#0,570762#0,571109#0,573016#0,573596#0,574526#0,578420#0,578428#0,578445#0,579660#0,583159#0,583218#0,583246#0,583263#0,583319#0,583765#0,583856#0,584004#0,587454#0,600374#0,600385#0,602582#0,603518#0,604557#0,606358#0,614459#0,614510#0,614529#0,614589#0,614697#0,614749#0,615010#0,615109#0,618877#0,618902#0,619010#0,619019#0,619075#0,619078#0,619406#0,620457#0,620471#0,620524#0,620526#0,620534#0,621725#0,621772#0,622191#0,622221#0,622658#0,622662#0,623916#0,624119#0,624563#0,624802#0,624947#0,625720#0,626026#0,626166#0,626170#0,626172#0,626231#0,626760#0,628512#0,630853#0,630888#0,634605#0,635094#0,636100#0,637105#0,637109#0,637440#0,637668#0,637909#0,645433#0,653110#0,653913#0,657903#0,657939#0,657944#0,657961#0,661228#0,661665#0,661668#0,661673#0,662693#0,663355#0,663389#0,669350#0,669354#0,674145#0,674148#0,675145#0,675148#0,675149#0,675151#0,675164#0,675185#0,675204#0,675643#0,678784#0,678793#0,678797#0,680384#0,680390#0,682159#0,686841#0,687023#0,689568#0,695673#0,695675#0,695682#0,695913#0,697452#0,697498#0,698414#0,699579#0,699582#0,699625#0,701659#0,703350#0,703354#0,707269#0,707402#0,707654#0,709176#0,709592#0,711622#0,712031#0,712207#0,712248#0,714182#0,714207#0,714261#0,714268#0,715834#0,715885#0,716058#0,716059#0,717636#0,717639#0,718560#0,720046#0,720750#0,720975#0,721876#0,721878#0,721940#0,722791#0	17420895969	3	576	5806965323
21276209000152#0,21276225000145#0,21276282000124#0,21483615000196#0,25674730000107#0,31272701000103#0	341278#0,484910#0,496589#0	17117142630	6	3	1141142842
01929665000490#0,21276209000152#0,21276225000145#0,21276282000124#0,25674730000107#0,31272701000103#0	341278#0,341333#0	17063510130	6	2	1137567342
21276209000152#0,21276225000145#0,21483615000196#0,25674730000107#0,31272701000103#0	84422#0,84425#0,84466#0,84506#0,86230#0,185699#0,185764#0,185856#0,186389#0,186979#0,224600#0,224659#0,224674#0,266071#0,266076#0,341278#0,351746#0,388587#0,407594#0,407633#0,484910#0,484964#0,496589#0,598123#0,604421#0,604432#0,609902#0,610191#0,621650#0,669256#0	11454152390	5	30	1145415239
21276209000152#0,21276225000145#0,21276282000124#0,25674730000107#0,31272701000103#0	84489#0,135924#0,135926#0,135963#0,135978#0,136028#0,136156#0,185656#0,186311#0,186370#0,186418#0,194959#0,194960#0,194979#0,194983#0,265490#0,265547#0,265578#0,280459#0,341278#0,341333#0,351732#0,407608#0,484880#0,484910#0,489133#0,496578#0,496589#0,511645#0,511661#0,511696#0,598116#0,604418#0,604435#0	11434433060	5	34	1143443306
21276209000152#0,21276225000145#0,25674730000107#0,31272701000103#0	84422#0,84425#0,84466#0,84489#0,84506#0,86230#0,135924#0,135926#0,135963#0,135978#0,136028#0,136156#0,185656#0,185699#0,185764#0,185856#0,185978#0,186137#0,186311#0,186370#0,186389#0,186418#0,186472#0,186979#0,187051#0,194959#0,194960#0,194979#0,194983#0,196300#0,224600#0,224659#0,224674#0,255250#0,265490#0,265547#0,265578#0,266071#0,266076#0,280459#0,341278#0,341333#0,351732#0,351746#0,366447#0,372232#0,388587#0,407594#0,407608#0,407633#0,417694#0,417695#0,484880#0,484910#0,484964#0,489133#0,496578#0,496589#0,511645#0,511661#0,511696#0,598116#0,598123#0,604418#0,604421#0,604432#0,604435#0,609898#0,609902#0,610191#0,621650#0,669256#0,701962#0	6890656518	4	73	1148442753
21276209000152#0,21276225000145#0,21483615000196#0,31272701000103#0	84422#0,84425#0,84466#0,84506#0,85434#0,86230#0,185699#0,185764#0,185856#0,186389#0,186979#0,224600#0,224659#0,224674#0,256172#0,266071#0,266076#0,341278#0,351746#0,388587#0,407594#0,407633#0,484910#0,484964#0,496589#0,598123#0,604421#0,604432#0,609902#0,610191#0,621650#0,669256#0	6873655434	4	32	1145609239
