01609115000140	375565	2593953648
06943293000127	375565	2593953648
09153625000168	256152	1150891500
15139458000101	256152	1150891500
07190108000133	370242	293897625
65102428000190	370242	293897625
62396296000169	542490	94235234
13916357000166	353225	50828446
10597087000180	397554	46000000
19140342000135	397554	46000000
04268943000150	396885	37908849
14083694000182	396885	37908849
00584755000180	636053	35928020
04089113000166	636053	35928020
16554560000128	635921	33768558
17250986000150	635921	33768558
04540616000106	658841	33220890
91879544000120	658841	33220890
16502551000193	398847	21423214
21075133000105	399333	20745677
59454686000133	399333	20745677
26120618000189	536366	20257750
26120618000260	536366	20257750
05381594000141	145835	17790147
71084255000128	145835	17790147
21222666000164	109893	14325212
02491558000142	501722	12821472
24253266000104	501722	12821472
03596923000146	638716	10857618
07946202000170	638716	10857618
00688917000120	168159	9990011
05707995000149	595466	9985984
22555787000352	595466	9985984
02540779000163	126558	9936812
02540779000325	126558	9936812
08505528000124	503913	9906449
15440759000162	503913	9906449
60665981000541	396906	9634142
44772937000150	397904	9343000
47103106000184	397904	9343000
34274233002571	296053	9240000
00285753001324	398785	9055591
06291846000104	465440	8038334
20504508000134	465440	8038334
08830900000178	213073	7753785
14087361000121	213073	7753785
24272869000153	297389	7468440
12483875000170	297267	7220940
09504894000121	399562	6999997
59527788000131	399562	6999997
04567650000174	230780	6817660
26279935000142	230780	6817660
05865112000129	712207	6564709
10571984000114	712207	6564709
60318797000100	712207	6564709
10287588000160	638529	6207062
14520515000127	638529	6207062
17357664000105	642436	5699859
22596197000106	642436	5699859
23103861000109	624660	5589900
80769680000141	624660	5589900
09410984000153	553442	5370054
13802890000105	94152	5366837
13802890000288	94152	5366837
01466091002161	192689	5134750
01466091002323	192689	5134750
06280244000151	341008	5098586
12416556000142	341008	5098586
02535864000133	508156	5061295
04797621000107	508156	5061295
19070408000168	712213	4954584
57543001000957	712213	4954584
06161205000135	497360	4907630
14193613000105	226127	4891040
57877557000122	397286	4830950
61532164000154	397286	4830950
05956200000136	226086	4444205
08265680000187	631440	4354904
26825176000176	631440	4354904
22604607000113	182670	4333546
71304497000180	182670	4333546
80698442000192	290348	4273826
82610726000100	290348	4273826
10531794000173	650886	4212670
06628333000146	472529	3867367
07920451000196	45881	3791575
10758468000101	45881	3791575
18723817000153	374904	3782888
23466656000108	374904	3782888
01821678000106	346456	3758640
03065063000114	346456	3758640
03332124000162	65766	3683500
12426263000146	65766	3683500
13002197000140	510472	3656167
18817517000133	510472	3656167
