01001344000188 17383375000180 "RUA DA BAHIA 1148 BELO HORIZONTE MG BRASIL"
01007393000128 23849632000120 "AVENIDA DOUTOR FERREIRA LEITE 76 COROACI MG BRASIL"
01030914000168 00822938000197 "AVENIDA DOS ANDRADAS 302 BELO HORIZONTE MG BRASIL"
01030914000168 14209927000140 "AVENIDA DOS ANDRADAS 302 BELO HORIZONTE MG BRASIL"
01043114000181 21553261000109 "RUA SEVERINO TAQUARA 25 VARJAO DE MINAS MG BRASIL"
01105481000162 04818899000105 "RUA MAJOR GOTE 1901 PATOS DE MINAS MG BRASIL"
01105906000133 14631440000151 "RUA ANTONIO ROSA BELO 135 SENHORA DOS REMEDIOS MG BRASIL"
01133225000189 19063728000190 "RUA ALBERTO CABRE 191 VARGINHA MG BRASIL"
01135851000104 07571856000166 "AVENIDA CARLOS ALBERTO CHEBABE 0 CAMPOS DOS GOYTACAZES RJ BRASIL"
01137904000126 05452114000196 "RUA VEREADOR ADOLFO FERREIRA DA SILVA 19 CAMBUI MG BRASIL"
01156414000177 26410083000180 "RUA VINTE E DOIS DE MAIO 17 UBA MG BRASIL"
01211315000140 16912442000144 "RUA IZABEL BUENO 817 BELO HORIZONTE MG BRASIL"
01237548000112 06134321000165 "RUA ARI BARROSO 732 APUCARANA PR BRASIL"
01245727000100 11342806000184 "RODOVIA BR 381 SN BOM JESUS DO AMPARO MG BRASIL"
01245727000100 24446347000120 "RODOVIA BR 381 SN BOM JESUS DO AMPARO MG BRASIL"
01245727000100 26974784000142 "RODOVIA BR 381 SN BOM JESUS DO AMPARO MG BRASIL"
01246944000106 65153470000130 "AVENIDA PRUDENTE DE MORAIS 621 BELO HORIZONTE MG BRASIL"
01256137000174 64277247000132 "AVENIDA RIO GRANDE 5000 UBERABA MG BRASIL"
01256137000689 23856617000109 "RODOVIA BR-381 FERNAO DIAS S/N BETIM MG BRASIL"
01256137000689 26046821000152 "RODOVIA BR-381 FERNAO DIAS S/N BETIM MG BRASIL"
01264836000166 74002155000101 "RUA CARDOSO DE ALMEIDA 167 SAO PAULO SP BRASIL"
01265508000184 06184202000117 "RUA LAZARETO 75 SERRO MG BRASIL"
01293454000160 19679757000181 "AVENIDA WALDEMAR CESAR SANTOS 147 MINAS NOVAS MG BRASIL"
01297697000410 09373550000120 "RUA DOUTOR JOSE DE RESENDE PINTO 150 VARGINHA MG BRASIL"
01331762000133 64191026000147 "RUA ETELVINO GUIMARAES 217 MANHUACU MG BRASIL"
01356570000181 54484753000149 "AVENIDA DAS NACOES UNIDAS 11711 SAO PAULO SP BRASIL"
01356570000181 61074175000138 "AVENIDA DAS NACOES UNIDAS 11711 SAO PAULO SP BRASIL"
01384444000130 25126099000101 "RUA SILVA PONTES 51 VICOSA MG BRASIL"
01388046000192 17791684000190 "AVENIDA DO CONTORNO 2905 BELO HORIZONTE MG BRASIL"
01388046000192 18713283000184 "AVENIDA DO CONTORNO 2905 BELO HORIZONTE MG BRASIL"
01388046000192 21822225000101 "AVENIDA DO CONTORNO 2905 BELO HORIZONTE MG BRASIL"
01388046000192 24523267000121 "AVENIDA DO CONTORNO 2905 BELO HORIZONTE MG BRASIL"
01388046000192 24599719000159 "AVENIDA DO CONTORNO 2905 BELO HORIZONTE MG BRASIL"
01404158000190 04392909000193 "AVENIDA COMENDADOR ALADINO SELMI 4630 CAMPINAS SP BRASIL"
01404158000190 17171395000198 "AVENIDA COMENDADOR ALADINO SELMI 4630 CAMPINAS SP BRASIL"
01417694000120 24325781000152 "AVENIDA PRESIDENTE TANCREDO NEVES 2103 CARATINGA MG BRASIL"
01449930000190 44013159000116 "AVENIDA MUTINGA 3800 3800 SAO PAULO SP BRASIL"
01449930000351 01449930000602 "RUA DONA FRANCISCA 8300 JOINVILLE SC BRASIL"
01449930000351 44013159006580 "RUA DONA FRANCISCA 8300 JOINVILLE SC BRASIL"
01449930000602 01449930000351 "RUA DONA FRANCISCA 8300 JOINVILLE SC BRASIL"
01449930000602 44013159006580 "RUA DONA FRANCISCA 8300 JOINVILLE SC BRASIL"
01498142000193 02089242000129 "PRACA CHAMPAGNAT 29 VARGINHA MG BRASIL"
01498142000193 16650003000100 "PRACA CHAMPAGNAT 29 VARGINHA MG BRASIL"
01524903000134 20282265000137 "RODOVIA BR 265 S/N BARROSO MG BRASIL"
01527405000145 11389858000106 "AVENIDA AUGUSTO DE LIMA 233 BELO HORIZONTE MG BRASIL"
01527405000145 18946525000180 "AVENIDA AUGUSTO DE LIMA 233 BELO HORIZONTE MG BRASIL"
01527405000145 19454333000119 "AVENIDA AUGUSTO DE LIMA 233 BELO HORIZONTE MG BRASIL"
01533786000175 04056564000105 "AVENIDA LEOPOLDINO DE OLIVEIRA 4113 UBERABA MG BRASIL"
01549256000115 06152754000143 "RODOVIA MG 050 S/N FORMIGA MG BRASIL"
01549256000115 20502415000170 "RODOVIA MG 050 S/N FORMIGA MG BRASIL"
01564385000182 04820885000126 "AVENIDA LUIZ PAULO FRANCO 500 BELO HORIZONTE MG BRASIL"
01564385000344 04544819000170 "RUA MINISTRO OROZIMBO NONATO 442 NOVA LIMA MG BRASIL"
01564385000344 18726947000140 "RUA MINISTRO OROZIMBO NONATO 442 NOVA LIMA MG BRASIL"
01564385000344 20253027000101 "RUA MINISTRO OROZIMBO NONATO 442 NOVA LIMA MG BRASIL"
01569403000119 19398577000121 "RUA TIRADENTES 70 BARBACENA MG BRASIL"
01586976000150 17302843000145 "RUA DOS PEREIRAS 97 ALTO RIO DOCE MG BRASIL"
01622797000121 03145640000188 "RUA RANULFO ALVARES 708 GOVERNADOR VALADARES MG BRASIL"
01631780000130 13113561000149 "SITIO RANCHO ALEGRE S/N PAPAGAIOS MG BRASIL"
01632455000192 08074463000100 "RUA MINISTRO GABRIEL PASSOS 338 SAO JOAO DEL REI MG BRASIL"
01645409000390 21551379000874 "PRACA AGRICOLA LA PAZ TRISTANTE 121 OSASCO SP BRASIL"
01652264000192 10516775000178 "RUA DOS INCONFIDENTES 867 BELO HORIZONTE MG BRASIL"
01652264000192 14278276000140 "RUA DOS INCONFIDENTES 867 BELO HORIZONTE MG BRASIL"
01652264000192 14341568000180 "RUA DOS INCONFIDENTES 867 BELO HORIZONTE MG BRASIL"
01652264000192 19439360000112 "RUA DOS INCONFIDENTES 867 BELO HORIZONTE MG BRASIL"
01652264000192 27985374000160 "RUA DOS INCONFIDENTES 867 BELO HORIZONTE MG BRASIL"
01653669000145 13830850000169 "AVENIDA JOSE RABELO DE SOUZA 617 JOAO PINHEIRO MG BRASIL"
01661666000153 16593576000140 "RUA PARACATU 17 UNAI MG BRASIL"
01697111000161 09530235000160 "AVENIDA FRANCISCO VIEIRA MARTINS 498-A PONTE NOVA MG BRASIL"
01701839000110 07789824000131 "RUA GUARACIABA PASSOS 703 MATEUS LEME MG BRASIL"
