06629745000109,49324221000104	718423,725294,742196,749314,755631,771795,772799,773340,779790,815049,815871,831441,869697,874421,886122,888860,890465,909849,910065,918385,922123,934942,953004,963388,975952,985644	7113675490	2	26	7113675490
12420164000157,12420164000319	876321,876330,876370,948555,952879,953158,953320	2978047470	2	7	2978047470
09408863000177,12576098000109	765240,777600,777635,777672,778113,793941,834256,923420	2593075135	2	8	2593075135
05075964000112,40175705000164	952113,952862,953191,953425	2588998470	2	4	2588998470
03173334000155,13431621000171	786940,786988,787058	2339171684	2	3	2339171684
00874929000140,16366888000110	155619,720169,720209,720249,730410,731253,731301,745486,745906,755528,755529,761002,761030,762537,762686,784399,789880,790963,790983,790984,791108,793081,800966,801377,801550,808229,809067,812705,819817,825819,825846,826664,835955,844226,844267,860335,860519,867614,867681,874088,874100,877547,882717,905417,926172,932361,932364,932365,932399,932447,933410,964489,969380,981661,983093	887323647	2	55	887323647
67729178000149,67729178000491	897666	797249315	2	1	797249315
15799068000150,23681312000103	799077	748748886	2	1	748748886
26921908000121,26921908000202	761702,842644,856811,901950,902019,952387	227342173	2	6	227342173
07483513000140,71094205000121	764276,764295,764315,961181,961202,961249	225608920	2	6	225608920
01982481000140,18440367000191	727583,758003,848654,850911,902030,956487	156786517	2	6	156786517
03960712000140,09130024000130	786050,786191,786252	134939426	2	3	134939426
10578941000160,19583558000175	891422	102796022	2	1	102796022
43217280000105,62396296000169	814804	94235234	2	1	94235234
24296646000126,24419569000154	981916	79691751	2	1	79691751
16502551000193,25898180000100	774105	21423214	2	1	21423214
26120618000189,26120618000260	895278	20257750	2	1	20257750
02460736000178,18269125000187	736977,785155,796949,796958,830375,831170,854314,952602,959498	18615375	2	9	18615375
10251397000148,42932715000122	839334,839335,839336,839337,839338,839339,839340,839341,839342,839343	13427380	2	10	13427380
06073848000127,09053134000226	766047,766048,766269,766327,842684,947613,952168,952432,952538,984434,984924	13090666	2	11	13090666
07643548000107,09483720000120	827772,827838,827894,827935	12654429	2	4	12654429
04307650000135,06081203000136	732275,774071,947613	10708271	2	3	10708271
06073848000127#0,09053134000226#0,19936557000167#0	947613#0	10544791	3	1	3514930
20626417000171,21393507000122	754104	10310188	2	1	10310188
00676679000133,07562743000102	774209	9946481	2	1	9946481
02540779000163,02540779000325	810409	9936812	2	1	9936812
04027894000164,04027894000326	762204,944923,948342	9000629	2	3	9000629
02203356000158,12929043000135	749751,749817,841247,946629,947535,947801,948531,948777	8260247	2	8	8260247
11430465000107,20766316000104	969665,969773,969841	7981900	2	3	7981900
08830900000178,14087361000121	875660	7753785	2	1	7753785
05835916000185,71208516000174	807714,839533,839534,839535,839536,839537,839538,839539,839540,839541,839542,839543,839544,839556,840062,840063,840064,840065,840066,840067,840068,840069,840070,840071,840072,840073,840074,859286,943621,944076,944658,948259,973611	7732669	2	33	7732669
02701263000234,26341602000104	858034,858276	7236480	2	2	7236480
10495228000153#0,10576690000185#0,17988161000138#0	814166#0	6956298	3	1	2318766
10769482000100,22873613000176	814341	6909585	2	1	6909585
08546092000111,10568854000122	751489,751635,751725,751813	6810669	2	4	6810669
00491870000100,03102926000186	839028,839068	6781683	2	2	6781683
04600294000143#0,04851699000154#0,22719843000185#0	754722#0,754773#0,941155#0	6585523	3	3	2195174
21804120000383,21804120000545	732406,732547,732572,732700,732792,732845,962013	6568550	2	7	6568550
01133225000189#0,10600312000190#2,21013054000161#2	730567#2,939896#2	6385762	3	2	4789321
05334499000197,10294104000100	898101,898201,980745	6334400	2	3	6334400
02272500000108#0,04193097000157#0,10322079000120#0	721990#0	6333588	3	1	2111196
00443322000105,18114595000171	772656,772740,772815	6167615	2	3	6167615
19817766000191,19817766000353	938562,938949,939035	6113707	2	3	6113707
01133225000189,10600312000190	730567,770407,770574,939896,966051	6095150	2	5	6095150
17719444000184,19478320000180	739678,739807,739968,740118	6084265	2	4	6084265
